"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.3,-0.005,-0.01,0.16167,-0.0022101,0
0.301,-0.005,-0.01,0.15736,-0.0019839,0
0.302,-0.005,-0.01,0.15326,-0.0017974,0
0.303,-0.005,-0.01,0.14936,-0.0016221,0
0.304,-0.005,-0.01,0.14556,-0.0014307,0
0.305,-0.005,-0.01,0.1417,-0.0012221,0
0.306,-0.005,-0.01,0.13794,-0.0010158,0
0.307,-0.005,-0.01,0.13446,-0.00082962,0
0.308,-0.005,-0.01,0.13113,-0.00066663,0
0.309,-0.005,-0.01,0.12797,-0.00052418,0
0.31,-0.005,-0.01,0.12494,-0.00038408,0
0.311,-0.005,-0.01,0.12191,-0.00023953,0
0.312,-0.005,-0.01,0.11892,-0.00010432,0
0.313,-0.005,-0.01,0.11612,1.1406e-05,0
0.314,-0.005,-0.01,0.11354,0.00011304,0
0.315,-0.005,-0.01,0.11101,0.00020781,0
0.316,-0.005,-0.01,0.10865,0.00029595,0
0.317,-0.005,-0.01,0.10647,0.00037976,0
0.318,-0.005,-0.01,0.10426,0.00045757,0
0.319,-0.005,-0.01,0.10204,0.00051912,0
0.32,-0.005,-0.01,0.099876,0.00056612,0
0.321,-0.005,-0.01,0.09777,0.00060976,0
0.322,-0.005,-0.01,0.095816,0.000658,0
0.323,-0.005,-0.01,0.094015,0.00070754,0
0.324,-0.005,-0.01,0.092246,0.0007484,0
0.325,-0.005,-0.01,0.090421,0.00077588,0
0.326,-0.005,-0.01,0.088621,0.00079235,0
0.327,-0.005,-0.01,0.086962,0.00081477,0
0.328,-0.005,-0.01,0.085405,0.00085498,0
0.329,-0.005,-0.01,0.083995,0.00091249,0
0.33,-0.005,-0.01,0.082609,0.00096131,0
0.331,-0.005,-0.01,0.081078,0.00097839,0
0.332,-0.005,-0.01,0.079427,0.000965,0
0.333,-0.005,-0.01,0.077782,0.00094287,0
0.334,-0.005,-0.01,0.076242,0.0009359,0
0.335,-0.005,-0.01,0.074787,0.00094971,0
0.336,-0.005,-0.01,0.073405,0.00097369,0
0.337,-0.005,-0.01,0.072027,0.00099177,0
0.338,-0.005,-0.01,0.070594,0.0010005,0
0.339,-0.005,-0.01,0.069179,0.0010121,0
0.34,-0.005,-0.01,0.067812,0.0010364,0
0.341,-0.005,-0.01,0.066454,0.0010689,0
0.342,-0.005,-0.01,0.065115,0.0011099,0
0.343,-0.005,-0.01,0.063758,0.0011483,0
0.344,-0.005,-0.01,0.062346,0.001177,0
0.345,-0.005,-0.01,0.060901,0.0012033,0
0.346,-0.005,-0.01,0.059428,0.0012246,0
0.347,-0.005,-0.01,0.057902,0.0012439,0
0.348,-0.005,-0.01,0.056359,0.0012689,0
0.349,-0.005,-0.01,0.054868,0.0013104,0
0.35,-0.005,-0.01,0.053358,0.0013583,0
0.351,-0.005,-0.01,0.052024,0.0013915,0
0.352,-0.005,-0.01,0.050997,0.0014545,0
0.353,-0.005,-0.01,0.050544,0.0016104,0
0.354,-0.005,-0.01,0.052684,0.0017822,0
0.355,-0.005,-0.01,0.056195,0.0019747,0
0.356,-0.005,-0.01,0.035296,0.0038739,0
0.263,-0.005,0.01,0.29699,-0.0048076,0
0.264,-0.005,0.01,0.29689,-0.0048888,0
0.265,-0.005,0.01,0.29562,-0.0049251,0
0.266,-0.005,0.01,0.29428,-0.0048491,0
0.267,-0.005,0.01,0.29373,-0.0046277,0
0.268,-0.005,0.01,0.29176,-0.0041778,0
0.269,-0.005,0.01,0.29027,-0.0040192,0
0.27,-0.005,0.01,0.29055,-0.0042486,0
0.271,-0.005,0.01,0.29064,-0.0045284,0
0.272,-0.005,0.01,0.29038,-0.0046076,0
0.273,-0.005,0.01,0.29001,-0.0042818,0
0.274,-0.005,0.01,0.2894,-0.0038088,0
0.275,-0.005,0.01,0.28789,-0.0035689,0
0.276,-0.005,0.01,0.28657,-0.0037282,0
0.277,-0.005,0.01,0.2857,-0.0039094,0
0.278,-0.005,0.01,0.28273,-0.0037447,0
0.279,-0.005,0.01,0.27865,-0.0036879,0
0.28,-0.005,0.01,0.27458,-0.0038407,0
0.281,-0.005,0.01,0.26901,-0.0039202,0
0.282,-0.005,0.01,0.26213,-0.0040465,0
0.283,-0.005,0.01,0.25532,-0.0043582,0
0.284,-0.005,0.01,0.24887,-0.0047415,0
0.285,-0.005,0.01,0.24158,-0.0048654,0
0.286,-0.005,0.01,0.2341,-0.0046709,0
0.287,-0.005,0.01,0.22756,-0.0044181,0
0.288,-0.005,0.01,0.22147,-0.0043721,0
0.289,-0.005,0.01,0.21595,-0.0044728,0
0.29,-0.005,0.01,0.21077,-0.004472,0
0.291,-0.005,0.01,0.20545,-0.0043282,0
0.292,-0.005,0.01,0.20032,-0.0041474,0
0.293,-0.005,0.01,0.19554,-0.0040269,0
0.294,-0.005,0.01,0.19094,-0.0039504,0
0.295,-0.005,0.01,0.1861,-0.0038044,0
0.296,-0.005,0.01,0.18115,-0.0035554,0
0.297,-0.005,0.01,0.17621,-0.0032234,0
0.298,-0.005,0.01,0.17104,-0.0028375,0
0.299,-0.005,0.01,0.16613,-0.0024853,0
0.3,-0.005,0.01,0.16167,-0.0022101,0
0.301,-0.005,0.01,0.15736,-0.0019839,0
0.302,-0.005,0.01,0.15326,-0.0017974,0
0.303,-0.005,0.01,0.14936,-0.0016221,0
0.304,-0.005,0.01,0.14556,-0.0014307,0
0.305,-0.005,0.01,0.1417,-0.0012221,0
0.306,-0.005,0.01,0.13794,-0.0010158,0
0.307,-0.005,0.01,0.13446,-0.00082962,0
0.308,-0.005,0.01,0.13113,-0.00066663,0
0.309,-0.005,0.01,0.12797,-0.00052418,0
0.31,-0.005,0.01,0.12494,-0.00038408,0
0.311,-0.005,0.01,0.12191,-0.00023953,0
0.312,-0.005,0.01,0.11892,-0.00010432,0
0.313,-0.005,0.01,0.11612,1.1406e-05,0
0.314,-0.005,0.01,0.11354,0.00011304,0
0.315,-0.005,0.01,0.11101,0.00020781,0
0.316,-0.005,0.01,0.10865,0.00029595,0
0.317,-0.005,0.01,0.10647,0.00037976,0
0.318,-0.005,0.01,0.10426,0.00045757,0
0.319,-0.005,0.01,0.10204,0.00051912,0
0.32,-0.005,0.01,0.099876,0.00056612,0
0.321,-0.005,0.01,0.09777,0.00060976,0
0.322,-0.005,0.01,0.095816,0.000658,0
0.323,-0.005,0.01,0.094015,0.00070754,0
0.324,-0.005,0.01,0.092246,0.0007484,0
0.325,-0.005,0.01,0.090421,0.00077588,0
0.326,-0.005,0.01,0.088621,0.00079235,0
0.327,-0.005,0.01,0.086962,0.00081477,0
0.328,-0.005,0.01,0.085405,0.00085498,0
0.329,-0.005,0.01,0.083995,0.00091249,0
0.33,-0.005,0.01,0.082609,0.00096131,0
0.331,-0.005,0.01,0.081078,0.00097839,0
0.332,-0.005,0.01,0.079427,0.000965,0
0.333,-0.005,0.01,0.077782,0.00094287,0
0.334,-0.005,0.01,0.076242,0.0009359,0
0.335,-0.005,0.01,0.074787,0.00094971,0
0.336,-0.005,0.01,0.073405,0.00097369,0
0.337,-0.005,0.01,0.072027,0.00099177,0
0.338,-0.005,0.01,0.070594,0.0010005,0
